"departure_time","departure_station","arrival_time","arrival_station","duration_raw","duration_min_clean","price","train_company","departure_date","scrapping_date","scrapping_web"
"6:15","Madrid","8:48","Alicante",153,153,25,"AVLO","2025-03-15","2025-03-14","Trainline"
"7:00","Madrid","9:35","Alicante",155,155,25.65,"AVE","2025-03-15","2025-03-14","Trainline"
"7:45","Madrid","10:10","Alicante",145,145,23.13,"Iryo","2025-03-15","2025-03-14","Trainline"
"9:00","Madrid","11:29","Alicante",149,149,51.3,"AVE","2025-03-15","2025-03-14","Trainline"
"10:15","Madrid","12:37","Alicante",142,142,35,"Ouigo","2025-03-15","2025-03-14","Trainline"
"11:00","Madrid","13:30","Alicante",150,150,59.85,"AVE","2025-03-15","2025-03-14","Trainline"
"11:45","Madrid","14:43","Alicante",178,178,40.7,"Alvia","2025-03-15","2025-03-14","Trainline"
"12:00","Madrid","14:28","Alicante",148,148,68.4,"AVE","2025-03-15","2025-03-14","Trainline"
"14:15","Madrid","16:44","Alicante",149,149,33,"Ouigo","2025-03-15","2025-03-14","Trainline"
"14:25","Madrid","16:52","Alicante",147,147,51.3,"AVE","2025-03-15","2025-03-14","Trainline"
"16:00","Madrid","18:34","Alicante",154,154,34.2,"AVE","2025-03-15","2025-03-14","Trainline"
"17:00","Madrid","19:34","Alicante",154,154,35,"AVLO","2025-03-15","2025-03-14","Trainline"
"18:00","Madrid","20:24","Alicante",144,144,34.2,"AVE","2025-03-15","2025-03-14","Trainline"
"19:00","Madrid","21:28","Alicante",148,148,42.75,"AVE","2025-03-15","2025-03-14","Trainline"
"20:00","Madrid","22:56","Alicante",176,176,35.05,"Alvia","2025-03-15","2025-03-14","Trainline"
"20:15","Madrid","22:39","Alicante",144,144,22,"Ouigo","2025-03-15","2025-03-14","Trainline"
"6:30","Madrid","9:21","Barcelona",171,171,39,"AVLO","2025-03-15","2025-03-14","Trainline"
"7:05","Madrid","9:50","Barcelona",165,165,59,"Ouigo","2025-03-15","2025-03-14","Trainline"
"8:25","Madrid","11:10","Barcelona",165,165,66.98,"Iryo","2025-03-15","2025-03-14","Trainline"
"9:15","Madrid","12:00","Barcelona",165,165,52.31,"Iryo","2025-03-15","2025-03-14","Trainline"
"10:00","Madrid","12:45","Barcelona",165,165,53.15,"Iryo","2025-03-15","2025-03-14","Trainline"
"10:05","Madrid","13:00","Barcelona",175,175,45,"Ouigo","2025-03-15","2025-03-14","Trainline"
"10:30","Madrid","13:15","Barcelona",165,165,55,"AVLO","2025-03-15","2025-03-14","Trainline"
"11:25","Madrid","14:10","Barcelona",165,165,51.43,"Iryo","2025-03-15","2025-03-14","Trainline"
"11:30","Madrid","14:42","Barcelona",192,192,40.2,"AVE","2025-03-15","2025-03-14","Trainline"
"12:25","Madrid","15:10","Barcelona",165,165,50.86,"Iryo","2025-03-15","2025-03-14","Trainline"
"14:15","Madrid","16:45","Barcelona",150,150,39,"Ouigo","2025-03-15","2025-03-14","Trainline"
"14:45","Madrid","17:37","Barcelona",172,172,52.06,"Iryo","2025-03-15","2025-03-14","Trainline"
"16:40","Madrid","19:10","Barcelona",150,150,52.12,"Iryo","2025-03-15","2025-03-14","Trainline"
"17:20","Madrid","19:50","Barcelona",150,150,39,"Ouigo","2025-03-15","2025-03-14","Trainline"
"19:25","Madrid","22:10","Barcelona",165,165,53.68,"Iryo","2025-03-15","2025-03-14","Trainline"
"19:30","Madrid","22:44","Barcelona",194,194,49,"AVLO","2025-03-15","2025-03-14","Trainline"
"20:25","Madrid","23:10","Barcelona",165,165,51.67,"Iryo","2025-03-15","2025-03-14","Trainline"
"6:30","Madrid","7:52","Zaragoza",82,82,25,"AVLO","2025-03-15","2025-03-14","Trainline"
"7:05","Madrid","8:20","Zaragoza",75,75,39,"Ouigo","2025-03-15","2025-03-14","Trainline"
"7:30","Madrid","8:51","Zaragoza",81,81,44.65,"AVE","2025-03-15","2025-03-14","Trainline"
"9:15","Madrid","10:30","Zaragoza",75,75,52.79,"Iryo","2025-03-15","2025-03-14","Trainline"
"9:15","Madrid","13:25","Zaragoza",250,250,29.55,"Alvia","2025-03-15","2025-03-14","Trainline"
